ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0206,2829,4234,5254,6245,9599,9610,9725,8284,7558,7606,8421,8823,9531,10922,11194,12059,16588,17583,19164,21609,23173,24109,27533,26813,25434,24229,24104,24723,24897,26937
0207,2333,4389,5422,6319,9050,8990,9296,7491,6865,6865,7196,7530,8215,9598,9859,10440,14475,15201,16561,17903,18839,20057,23237,21976,20768,19753,19960,20156,20277,21478
1409,1106,1334,1698,2106,3510,3527,3527,3400,2982,2851,2812,2811,2779,2930,3045,3211,4055,4470,5345,7624,8351,9174,11397,11199,8719,7197,7029,6870,7005,7412
1408,1659,2234,2674,3218,4690,4690,4693,4482,4264,4092,4093,4219,4237,4133,4294,4424,5290,6092,7208,9815,10404,11411,14018,13833,10898,9196,9105,9085,9344,9388
0202,2405,3958,4946,5856,7389,7601,7817,6729,6222,6222,6411,6824,7287,8080,8273,8946,11434,12741,14386,16184,16947,17993,20894,19705,18648,17987,18198,18428,18568,19399
0203,4040,5014,6244,7642,9784,9771,9787,8875,7985,7985,9007,9787,10863,12894,12987,14022,19676,21296,23603,25108,26805,28697,31359,30307,29307,27134,27204,27601,28162,30479
0201,3740,4663,5831,7095,9417,9532,9668,8569,7710,7659,8640,9023,9610,11693,12095,13317,17585,19292,21202,22983,24666,25483,29394,28551,27340,25589,25488,25589,26600,29111
1403,1356,1540,1933,2461,3605,3613,3595,3559,3137,2980,3001,3081,3069,3316,3512,3641,4442,4530,5198,7980,8061,8909,11652,11283,9231,7680,7392,7392,7641,8183
1402,967,1498,1852,2331,3904,3927,3933,3845,3452,3244,3263,3321,3339,3532,3681,3844,4797,5115,6062,8428,9135,10043,12497,12381,10018,8309,8031,8064,8184,8689
1401,942,1467,1761,2201,3458,3491,3494,3510,3273,3101,3145,3305,3272,2602,2638,2723,3967,4283,4879,7980,8600,9497,11377,10986,9082,7676,7695,7716,8007,8473
1407,1056,1395,1771,2232,3461,3491,3522,3403,3009,2886,2887,2913,2884,3108,3245,3432,4209,4544,5492,7849,8518,9403,11628,11636,9315,7994,7522,7563,7703,8421
1406,1000,1406,1785,2268,3575,3579,3581,3506,3091,2942,2870,2931,2885,3246,3381,3548,4499,4801,5814,7963,8867,9790,11893,11792,9475,7799,7385,7381,7459,8275
1405,1089,1529,1835,2324,3664,3681,3719,3688,3461,3262,3193,3259,3201,3137,3234,3460,4490,5024,5896,8286,8952,9975,12117,11612,8904,7683,7606,7563,7838,8251
1404,1209,1496,1814,2246,3618,3629,3667,3559,3151,2984,3190,3231,3232,3283,3406,3665,4462,4849,5882,8260,8956,10004,12145,12071,9498,8215,8067,8124,8350,8885
